proxy_act,proxy_action
method,request_method
arg,argument
src_user,user
app_name,application
cat_name,category
dstname,domain
app_id,application_id
sent_bytes,sent_datasize
cats,category
rcvd_bytes,received_datasize
signature_cat,category
op,request_method
msg,message
cat_namec,category
app_cat_id,application_category_id
msg_id,message_id
fqdn_dst_match,fqdn_destination_match
geo_dst,destination_country
geo_src,source_country
app_cat_name,application_category
sig_vers,signature_version
elapsed_time,duration
client_ssl,client_cipher
server_ssl,server_cipher
sni,domain
exception_rule,exception
cn,common_name
cert_subject,certificate_subject
cert_issuer,certificate_issuer
app_beh_name,application_behaviour
app_ctl_disp,application_control_disposition
recipients,receiver
source_address,source_address
destination_address,destination_address
source_port,source_port
destination_port,destination_port
duration,duration
signature_name,signature
filename,file
app_beh_id,application_behaviour_id
md5,hash